Transaction ID,Date,Amount,Description
LEDGER-001,2025-04-01,675.48,Refund
LEDGER-002,2025-03-30,347.53,Uber - INV573
LEDGER-003,2025-03-21,762.82,Refund - INV755
LEDGER-004,2025-04-01,902.96,Legal Services
LEDGER-005,2025-04-02,479.73,AWS - INV432
LEDGER-006,2025-03-22,296.77,Legal Services
LEDGER-007,2025-03-28,123.88,Refund
LEDGER-008,2025-03-23,684.9,Interest - INV132
LEDGER-009,2025-03-22,298.4,Rent
LEDGER-010,2025-04-02,828.49,Uber - INV167
LEDGER-011,2025-03-27,728.33,Rent - INV680
LEDGER-012,2025-03-26,239.93,AWS
LEDGER-013,2025-04-01,183.47,Salary - INV771
LEDGER-014,2025-03-21,862.74,Rent - INV758
LEDGER-015,2025-03-25,826.42,Consulting - INV371
LEDGER-016,2025-03-24,212.34,AWS - INV862
LEDGER-017,2025-03-22,596.84,Legal Services
LEDGER-018,2025-03-28,896.91,Legal Services - INV698
LEDGER-019,2025-03-28,273.06,Google Ads - INV697
LEDGER-020,2025-03-28,695.14,AWS - INV324
LEDGER-021,2025-03-29,869.79,Interest
LEDGER-022,2025-03-23,350.18,Salary - INV605
LEDGER-023,2025-03-27,246.39,Office Supplies - INV148
LEDGER-024,2025-03-19,703.16,Freelancer
LEDGER-025,2025-03-19,164.26,Uber - INV263
LEDGER-X01,2025-03-30,900.0,Manual Entry Error
LEDGER-X02,2025-03-27,0.0,Bank Interest
