Transaction ID,Date,Amount,Description
BANK-001,2025-03-31,675.48,Refund
BANK-002,2025-03-28,347.53,Uber
BANK-003,2025-03-21,762.82,Refund
BANK-004,2025-03-30,902.96,Legal Services
BANK-005,2025-03-31,479.73,AWS
BANK-006,2025-03-23,296.77,Legal Services
BANK-007,2025-03-28,123.88,Refund
BANK-008,2025-03-23,684.9,Interest
BANK-009,2025-03-22,298.4,Rent
BANK-010,2025-03-31,828.49,Uber
BANK-011,2025-03-26,728.33,Rent
BANK-012,2025-03-26,239.93,AWS
BANK-013,2025-03-30,183.47,Salary
BANK-014,2025-03-22,862.74,Rent
BANK-015,2025-03-24,826.42,Consulting
BANK-016,2025-03-25,212.34,AWS
BANK-017,2025-03-21,596.84,Legal Services
BANK-018,2025-03-26,896.91,Legal Services
BANK-019,2025-03-30,273.06,Google Ads
BANK-020,2025-03-27,695.14,AWS
BANK-021,2025-03-30,869.79,Interest
BANK-022,2025-03-21,350.18,Salary
BANK-023,2025-03-26,246.39,Office Supplies
BANK-024,2025-03-21,703.16,Freelancer
BANK-025,2025-03-21,164.26,Uber
BANK-X01,2025-03-29,155.75,Fraudulent Charge
BANK-X02,2025-03-28,9.99,Bank Fee
